GEO_ID,Geographic Area Name,Estimate!!Total!!Population 16 years and over with earnings,"Estimate!!Total!!Population 16 years and over with earnings!!FULL-TIME, YEAR-ROUND WORKERS WITH EARNINGS!!$100,000 or more",Estimate!!Male!!Population 16 years and over with earnings,Estimate!!Female!!Population 16 years and over with earnings,Estimate!!Female!!MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT!!Population 25 years and over with earnings!!Graduate or professional degree
42001,"Adams County, Pennsylvania",56980,3688,30063,26917,70191
42003,"Allegheny County, Pennsylvania",695594,77255,357091,338503,60036
42005,"Armstrong County, Pennsylvania",32812,1685,17640,15172,60875
42007,"Beaver County, Pennsylvania",88722,5748,45839,42883,60585
42009,"Bedford County, Pennsylvania",24287,948,13350,10937,53028
42011,"Berks County, Pennsylvania",228763,16231,119640,109123,64901
42013,"Blair County, Pennsylvania",62714,2836,32920,29794,55685
42015,"Bradford County, Pennsylvania",29412,1343,15529,13883,63663
42017,"Bucks County, Pennsylvania",359667,59069,188827,170840,73242
42019,"Butler County, Pennsylvania",104031,12299,56158,47873,62148
42021,"Cambria County, Pennsylvania",65270,2563,34188,31082,52434
42023,"Cameron County, Pennsylvania",2249,86,1244,1005,43333
42025,"Carbon County, Pennsylvania",32539,1488,17328,15211,58676
42027,"Centre County, Pennsylvania",98959,7147,54014,44945,53043
42029,"Chester County, Pennsylvania",300054,61562,159214,140840,73497
42031,"Clarion County, Pennsylvania",19791,673,10496,9295,55349
42033,"Clearfield County, Pennsylvania",38419,1263,21020,17399,52582
42035,"Clinton County, Pennsylvania",20220,694,10694,9526,56450
42037,"Columbia County, Pennsylvania",33307,1904,17290,16017,57700
42039,"Crawford County, Pennsylvania",43169,1787,22763,20406,57526
42041,"Cumberland County, Pennsylvania",143455,14165,75102,68353,61682
42043,"Dauphin County, Pennsylvania",151704,11569,77083,74621,59955
42045,"Delaware County, Pennsylvania",309460,41956,156061,153399,68984
42047,"Elk County, Pennsylvania",16744,684,8729,8015,53838
42049,"Erie County, Pennsylvania",142880,7351,73753,69127,54268
42051,"Fayette County, Pennsylvania",61713,2945,33141,28572,60777
42053,"Forest County, Pennsylvania",2353,38,1764,589,28571
42055,"Franklin County, Pennsylvania",81070,4752,42649,38421,60264
42057,"Fulton County, Pennsylvania",7392,209,4151,3241,59706
42059,"Greene County, Pennsylvania",17125,976,9439,7686,54141
42061,"Huntingdon County, Pennsylvania",22384,808,12114,10270,55625
42063,"Indiana County, Pennsylvania",45085,2063,24283,20802,57283
42065,"Jefferson County, Pennsylvania",21559,798,11774,9785,50917
42067,"Juniata County, Pennsylvania",12148,565,6950,5198,57440
42069,"Lackawanna County, Pennsylvania",110659,6713,57675,52984,60097
42071,"Lancaster County, Pennsylvania",297031,20876,159025,138006,57894
42073,"Lawrence County, Pennsylvania",44232,2290,23053,21179,59472
42075,"Lebanon County, Pennsylvania",75505,3881,39920,35585,58908
42077,"Lehigh County, Pennsylvania",197186,18462,102745,94441,66068
42079,"Luzerne County, Pennsylvania",167612,8395,86629,80983,62209
42081,"Lycoming County, Pennsylvania",60654,2545,32444,28210,57471
42083,"McKean County, Pennsylvania",20946,777,11462,9484,55526
42085,"Mercer County, Pennsylvania",56459,2534,29470,26989,56166
42087,"Mifflin County, Pennsylvania",22717,628,12323,10394,48235
42089,"Monroe County, Pennsylvania",88680,6019,47022,41658,58623
42091,"Montgomery County, Pennsylvania",471713,85633,243253,228460,72447
42093,"Montour County, Pennsylvania",9364,811,5005,4359,63387
42095,"Northampton County, Pennsylvania",168176,15638,88273,79903,63437
42097,"Northumberland County, Pennsylvania",45943,1953,24152,21791,55758
42099,"Perry County, Pennsylvania",24672,1337,13307,11365,62202
42101,"Philadelphia County, Pennsylvania",783071,57839,380057,403014,61344
42103,"Pike County, Pennsylvania",28290,2410,15572,12718,54719
42105,"Potter County, Pennsylvania",7537,251,4078,3459,52721
42107,"Schuylkill County, Pennsylvania",69887,3034,38196,31691,58241
42109,"Snyder County, Pennsylvania",22257,908,11929,10328,61250
42111,"Somerset County, Pennsylvania",36739,1338,20463,16276,51695
42113,"Sullivan County, Pennsylvania",3027,100,1692,1335,60893
42115,"Susquehanna County, Pennsylvania",20205,888,11068,9137,58977
42117,"Tioga County, Pennsylvania",20045,881,10343,9702,55781
42119,"Union County, Pennsylvania",22985,1473,13202,9783,63396
42121,"Venango County, Pennsylvania",25391,891,13416,11975,57979
42123,"Warren County, Pennsylvania",20068,936,10586,9482,57574
42125,"Washington County, Pennsylvania",110787,11181,58583,52204,56791
42127,"Wayne County, Pennsylvania",23983,1230,13007,10976,64273
42129,"Westmoreland County, Pennsylvania",188473,16113,99570,88903,61755
42131,"Wyoming County, Pennsylvania",14159,663,7758,6401,60060
42133,"York County, Pennsylvania",245401,17884,128587,116814,63522
